ALDER;CIVILSTAND;OMRÅDE;KØN;TID;INDHOLD
I alt;Fraskilt;Hele landet;I alt;2008K1;428864
I alt;Fraskilt;Hele landet;I alt;2020K4;552419
I alt;Ugift;Hele landet;I alt;2020K1;2844060
I alt;Ugift;Hele landet;I alt;2020K2;2851131
I alt;Ugift;Hele landet;I alt;2020K3;2854659
I alt;Ugift;Hele landet;I alt;2020K4;2859116
I alt;Ugift;Region Hovedstaden;I alt;2020K1;973802
I alt;Ugift;Region Hovedstaden;I alt;2020K2;976457
I alt;Ugift;Region Hovedstaden;I alt;2020K3;977487
I alt;Ugift;Region Hovedstaden;I alt;2020K4;981652
I alt;Ugift;København;I alt;2020K1;412512
I alt;Ugift;København;I alt;2020K2;414072
I alt;Ugift;København;I alt;2020K3;414218
I alt;Ugift;København;I alt;2020K4;417782
I alt;Ugift;Frederiksberg;I alt;2020K1;60781
I alt;Ugift;Frederiksberg;I alt;2020K2;60894
I alt;Ugift;Frederiksberg;I alt;2020K3;60802
I alt;Ugift;Frederiksberg;I alt;2020K4;61020
I alt;Ugift;Dragør;I alt;2020K1;5844
I alt;Ugift;Dragør;I alt;2020K2;5856
I alt;Ugift;Dragør;I alt;2020K3;5866
I alt;Ugift;Dragør;I alt;2020K4;5856
I alt;Ugift;Tårnby;I alt;2020K1;19947
I alt;Ugift;Tårnby;I alt;2020K2;19913
I alt;Ugift;Tårnby;I alt;2020K3;19945
I alt;Ugift;Tårnby;I alt;2020K4;19946
I alt;Ugift;Albertslund;I alt;2020K1;13795
I alt;Ugift;Albertslund;I alt;2020K2;13761
I alt;Ugift;Albertslund;I alt;2020K3;13726
I alt;Ugift;Albertslund;I alt;2020K4;13701
I alt;Ugift;Ballerup;I alt;2020K1;22371
I alt;Ugift;Ballerup;I alt;2020K2;22561
I alt;Ugift;Ballerup;I alt;2020K3;22667
I alt;Ugift;Ballerup;I alt;2020K4;22707
I alt;Ugift;Brøndby;I alt;2020K1;16245
I alt;Ugift;Brøndby;I alt;2020K2;16277
I alt;Ugift;Brøndby;I alt;2020K3;16299
I alt;Ugift;Brøndby;I alt;2020K4;16317
I alt;Ugift;Gentofte;I alt;2020K1;35130
I alt;Ugift;Gentofte;I alt;2020K2;35183
I alt;Ugift;Gentofte;I alt;2020K3;35169
I alt;Ugift;Gentofte;I alt;2020K4;35017
I alt;Ugift;Gladsaxe;I alt;2020K1;34731
I alt;Ugift;Gladsaxe;I alt;2020K2;34697
I alt;Ugift;Gladsaxe;I alt;2020K3;34752
I alt;Ugift;Gladsaxe;I alt;2020K4;34749
I alt;Ugift;Glostrup;I alt;2020K1;11193
I alt;Ugift;Glostrup;I alt;2020K2;11365
I alt;Ugift;Glostrup;I alt;2020K3;11386
I alt;Ugift;Glostrup;I alt;2020K4;11397
I alt;Ugift;Herlev;I alt;2020K1;13767
I alt;Ugift;Herlev;I alt;2020K2;13786
I alt;Ugift;Herlev;I alt;2020K3;13810
I alt;Ugift;Herlev;I alt;2020K4;13798
I alt;Ugift;Hvidovre;I alt;2020K1;26533
I alt;Ugift;Hvidovre;I alt;2020K2;26537
I alt;Ugift;Hvidovre;I alt;2020K3;26581
I alt;Ugift;Hvidovre;I alt;2020K4;26566
I alt;Ugift;Høje-Taastrup;I alt;2020K1;23532
I alt;Ugift;Høje-Taastrup;I alt;2020K2;23641
I alt;Ugift;Høje-Taastrup;I alt;2020K3;23728
I alt;Ugift;Høje-Taastrup;I alt;2020K4;23898
I alt;Ugift;Ishøj;I alt;2020K1;10808
I alt;Ugift;Ishøj;I alt;2020K2;10785
I alt;Ugift;Ishøj;I alt;2020K3;10873
I alt;Ugift;Ishøj;I alt;2020K4;10906
I alt;Ugift;Lyngby-Taarbæk;I alt;2020K1;27810
I alt;Ugift;Lyngby-Taarbæk;I alt;2020K2;27922
I alt;Ugift;Lyngby-Taarbæk;I alt;2020K3;27764
I alt;Ugift;Lyngby-Taarbæk;I alt;2020K4;28229
I alt;Ugift;Rødovre;I alt;2020K1;20055
I alt;Ugift;Rødovre;I alt;2020K2;20083
I alt;Ugift;Rødovre;I alt;2020K3;20198
I alt;Ugift;Rødovre;I alt;2020K4;20234
I alt;Ugift;Vallensbæk;I alt;2020K1;7354
I alt;Ugift;Vallensbæk;I alt;2020K2;7331
I alt;Ugift;Vallensbæk;I alt;2020K3;7318
I alt;Ugift;Vallensbæk;I alt;2020K4;7276
I alt;Ugift;Allerød;I alt;2020K1;10586
I alt;Ugift;Allerød;I alt;2020K2;10615
I alt;Ugift;Allerød;I alt;2020K3;10605
I alt;Ugift;Allerød;I alt;2020K4;10725
I alt;Ugift;Egedal;I alt;2020K1;18274
I alt;Ugift;Egedal;I alt;2020K2;18342
I alt;Ugift;Egedal;I alt;2020K3;18396
I alt;Ugift;Egedal;I alt;2020K4;18371
I alt;Ugift;Fredensborg;I alt;2020K1;17135
I alt;Ugift;Fredensborg;I alt;2020K2;17161
I alt;Ugift;Fredensborg;I alt;2020K3;17247
I alt;Ugift;Fredensborg;I alt;2020K4;17211
I alt;Ugift;Frederikssund;I alt;2020K1;18530
I alt;Ugift;Frederikssund;I alt;2020K2;18589
I alt;Ugift;Frederikssund;I alt;2020K3;18645
I alt;Ugift;Frederikssund;I alt;2020K4;18591
I alt;Ugift;Furesø;I alt;2020K1;17443
I alt;Ugift;Furesø;I alt;2020K2;17448
I alt;Ugift;Furesø;I alt;2020K3;17505
I alt;Ugift;Furesø;I alt;2020K4;17449
I alt;Ugift;Gribskov;I alt;2020K1;15993
I alt;Ugift;Gribskov;I alt;2020K2;15998
I alt;Ugift;Gribskov;I alt;2020K3;16036
I alt;Ugift;Gribskov;I alt;2020K4;15964
I alt;Ugift;Halsnæs;I alt;2020K1;12656
I alt;Ugift;Halsnæs;I alt;2020K2;12747
I alt;Ugift;Halsnæs;I alt;2020K3;12777
I alt;Ugift;Halsnæs;I alt;2020K4;12741
I alt;Ugift;Helsingør;I alt;2020K1;27077
I alt;Ugift;Helsingør;I alt;2020K2;27202
I alt;Ugift;Helsingør;I alt;2020K3;27327
I alt;Ugift;Helsingør;I alt;2020K4;27234
I alt;Ugift;Hillerød;I alt;2020K1;23306
I alt;Ugift;Hillerød;I alt;2020K2;23323
I alt;Ugift;Hillerød;I alt;2020K3;23416
I alt;Ugift;Hillerød;I alt;2020K4;23405
I alt;Ugift;Hørsholm;I alt;2020K1;9677
I alt;Ugift;Hørsholm;I alt;2020K2;9675
I alt;Ugift;Hørsholm;I alt;2020K3;9648
I alt;Ugift;Hørsholm;I alt;2020K4;9669
I alt;Ugift;Rudersdal;I alt;2020K1;24690
I alt;Ugift;Rudersdal;I alt;2020K2;24669
I alt;Ugift;Rudersdal;I alt;2020K3;24684
I alt;Ugift;Rudersdal;I alt;2020K4;24844
I alt;Ugift;Bornholm;I alt;2020K1;15996
I alt;Ugift;Bornholm;I alt;2020K2;15992
I alt;Ugift;Bornholm;I alt;2020K3;16066
